"customerid","recencydays","totalorders","totalspent","customersegment"
12346,326,1,77183.60,"Lost / Inactive"
12347,3,7,4310.00,"Champions"
12348,76,4,1797.24,"Loyal Customers"
12349,19,1,1757.55,"New / Recent Customers"
12350,311,1,334.40,"Lost / Inactive"
12352,37,8,2506.04,"Loyal Customers"
12353,205,1,89.00,"Lost / Inactive"
12354,233,1,1079.40,"Lost / Inactive"
12355,215,1,459.40,"Lost / Inactive"
12356,23,3,2811.43,"Loyal Customers"
12357,34,1,6207.67,"Lost / Inactive"
12358,2,2,1168.06,"New / Recent Customers"
12359,58,4,6372.58,"Loyal Customers"
12360,53,3,2662.06,"Loyal Customers"
12361,288,1,189.90,"Lost / Inactive"
12362,4,10,5226.23,"Champions"
12363,110,2,552.00,"At Risk Customers"
12364,8,4,1313.10,"Loyal Customers"
12365,292,2,641.38,"Lost / Inactive"
12367,5,1,168.90,"New / Recent Customers"
12370,52,4,3545.69,"Loyal Customers"
12371,45,2,1887.96,"Lost / Inactive"
12372,72,3,1298.04,"Loyal Customers"
12373,312,1,364.60,"Lost / Inactive"
12374,26,1,742.93,"New / Recent Customers"
12375,11,2,457.50,"New / Recent Customers"
12377,316,2,1628.12,"Lost / Inactive"
12378,130,1,4008.62,"At Risk Customers"
12379,82,2,852.24,"Lost / Inactive"
12380,22,4,2724.81,"Loyal Customers"
12381,5,5,1845.31,"Champions"
12383,185,5,1850.56,"Lost / Inactive"
12384,29,2,585.27,"New / Recent Customers"
12386,338,2,401.90,"Lost / Inactive"
12388,16,6,2780.66,"Champions"
12390,80,1,549.84,"Lost / Inactive"
12391,22,1,460.89,"New / Recent Customers"
12393,73,4,1582.60,"Loyal Customers"
12394,64,2,1272.48,"Lost / Inactive"
12395,20,12,3018.63,"Champions"
12397,36,2,2409.90,"Lost / Inactive"
12398,46,1,1635.66,"Lost / Inactive"
12399,120,4,1108.65,"At Risk Customers"
12401,304,1,84.30,"Lost / Inactive"
12402,324,1,225.60,"Lost / Inactive"
12403,50,1,427.70,"Lost / Inactive"
12405,149,1,1710.39,"At Risk Customers"
12406,23,2,3415.30,"New / Recent Customers"
12407,50,5,1708.12,"Loyal Customers"
12408,33,5,2888.55,"Loyal Customers"
12409,79,3,11072.67,"Loyal Customers"
12410,309,2,693.33,"Lost / Inactive"
12412,75,3,1226.88,"Loyal Customers"
12413,67,3,758.10,"Loyal Customers"
12414,218,3,562.41,"Lost / Inactive"
12415,25,21,124914.53,"Champions"
12417,4,9,3649.10,"Champions"
12418,113,1,668.58,"At Risk Customers"
12420,64,1,600.39,"Lost / Inactive"
12421,16,4,807.04,"Loyal Customers"
12422,96,3,803.56,"At Risk Customers"
12423,1,8,1859.31,"Champions"
12424,163,2,1760.96,"At Risk Customers"
12425,79,1,777.20,"Lost / Inactive"
12426,195,1,582.73,"Lost / Inactive"
12427,22,3,825.80,"Loyal Customers"
12428,26,9,7956.46,"Champions"
12429,10,4,3750.40,"Loyal Customers"
12430,44,1,256.40,"Lost / Inactive"
12431,36,15,6487.45,"Loyal Customers"
12432,43,5,5059.32,"Loyal Customers"
